volume,E,T
0.649999976,199.2061157,23.15736389
0.659999976,201.3627472,23.17702293
0.669999976,203.9594421,23.19994736
0.679999975,206.4281769,23.22287369
0.689999975,208.5223846,23.24579811
0.699999973,210.5292206,23.26872826
0.709999975,212.3893433,23.2850914
0.719999976,214.1464844,23.31128883
0.729999974,215.7631836,23.32768631
0.739999972,217.2893677,23.34732056
0.74999997,218.7344055,23.36698914
0.759999976,220.107666,23.38665581
0.769999973,221.4060059,23.40302467
0.779999971,222.6481781,23.41939545
0.789999977,223.8560181,23.43252945
0.799999967,224.979599,23.44563293
0.809999973,226.0719604,23.45873642
0.819999978,227.1237335,23.4718399
0.829999968,228.1255951,23.48167801
0.839999974,229.0806274,23.49478149
0.849999964,230.0200653,23.51115608
0.85999997,230.9220428,23.52099228
0.869999975,231.7647095,23.53083038
0.879999965,232.6011505,23.54393768
0.889999971,233.4063721,23.55377579
0.899999976,234.1928711,23.56031418
0.909999967,234.9606476,23.56688309
0.919999957,235.7003326,23.573452
0.929999977,236.4369049,23.58326149